,id,customer_id,country_id,tbl_loan_id,lender_id,loan_type,loan_risk,total_amount,total_amount_to_repay,interest_rate,disbursement_date,due_date,duration,amount_funded_by_lender,lender_portion_funded,lender_portion_to_be_repaid,new_versus_repeat,target,interest_rate_bin,interest_rate_bin_encoded,daily_loan_cost,cost_category,cost_category_encoded,to_repay_log,disbursement_month,disbursement_quarter,due_month,due_quarter,interaction1
0,ID_266671248032267278,266671,Kenya,248032,267278,Type_1,Low Risk,8448.0,8448.0,0.0,2022-08-30,2022-09-06,7,120.85,0.0143051609848484,121.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.041803370152845,8,3,9,3,3_7
1,ID_248919228515267278,248919,Kenya,228515,267278,Type_1,Low Risk,25895.0,25979.0,16.914462251399883,2022-07-30,2022-08-06,7,7768.5,0.3,7794.0,Repeat Loan,0,Normal,0,12.0,Moderate,2,10.165082290224591,7,3,8,3,3_7
2,ID_308486370501251804,308486,Kenya,370501,251804,Type_7,High Risk,6900.0,7142.0,182.87784679089026,2024-09-06,2024-09-13,7,1380.0,0.2,1428.0,Repeat Loan,0,Exorbitant,1,34.57142857142857,High,3,8.873888135154973,9,3,9,3,3_7
3,ID_266004285009267278,266004,Kenya,285009,267278,Type_1,Low Risk,8958.0,9233.0,160.0724013651006,2022-10-20,2022-10-27,7,2687.4,0.3,2770.0,Repeat Loan,0,Exorbitant,1,39.285714285714285,High,3,9.130647603066935,10,4,10,4,4_7
4,ID_253803305312267278,253803,Kenya,305312,267278,Type_1,Low Risk,4564.0,4728.0,187.36697132840865,2022-11-28,2022-12-05,7,1369.2,0.3,1418.0,Repeat Loan,0,Exorbitant,1,23.428571428571427,Moderate,2,8.461469042643875,11,4,12,4,4_7
5,ID_265607284433267278,265607,Kenya,284433,267278,Type_1,Low Risk,4325.0,4325.0,0.0,2022-10-19,2022-10-26,7,1297.5,0.3,1298.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.372398606513004,10,4,10,4,4_7
6,ID_261844305920267278,261844,Kenya,305920,267278,Type_1,Low Risk,6735.0,6735.0,0.0,2022-11-29,2022-12-06,7,2020.5,0.3,2021.0,Repeat Loan,0,Normal,0,0.0,Zero,0,8.815221555922163,11,4,12,4,4_7
7,ID_265488287698267278,265488,Kenya,287698,267278,Type_1,Low Risk,1540.0,1562.0,74.48979591836734,2022-10-25,2022-11-01,7,462.0,0.3,469.0,Repeat Loan,0,Exorbitant,1,3.142857142857143,Small,1,7.354362330421477,10,4,11,4,4_7
8,ID_268010279432267278,268010,Kenya,279432,267278,Type_1,Low Risk,21496.0,21994.0,120.7998830347174,2022-10-11,2022-10-18,7,0.0,0.0,0.0,Repeat Loan,0,Exorbitant,1,71.14285714285714,High,3,9.99857043378282,10,4,10,4,4_7
9,ID_245399236898267278,245399,Kenya,236898,267278,Type_1,Low Risk,18852.0,18852.0,0.0,2022-08-15,2022-08-22,7,5655.6,0.3,5656.0,Repeat Loan,0,Normal,0,0.0,Zero,0,9.844427331406584,8,3,8,3,3_7
