loan_type,total_amount_to_repay,interest_rate,duration,lender_portion_to_be_repaid,due_month,daily_loan_cost,daily_payment_ratio,risk_score,new_versus_repeat,actual_class
Type_1,1288.0,836.164736164736,7,386.0,11,25.428571428571427,184.0,398.5862991044338,Repeat Loan,1
Type_4,43348.0,101.83500000000001,30,6936.0,5,111.6,1444.9333333333334,21.214646193771628,Repeat Loan,1
Type_1,12192.0,50.95955891052794,7,3658.0,11,16.857142857142858,1741.7142857142858,24.263803102286833,Repeat Loan,1
Type_10,92510.65,12.166644418478013,45,18499.0,8,30.381111111110982,2055.792222222222,1.3520781104951896,Repeat Loan,1
Type_10,205202.97,12.166682112931905,45,16451.0,5,67.39022222222216,4560.066,3.3724924585732747,Repeat Loan,1
Type_18,9546.0,73.8111111111111,30,1909.0,5,18.2,318.2,12.303140678656654,Repeat Loan,1
Type_5,78521.0,159.2823359073359,14,396.0,3,322.92857142857144,5608.642857142857,2255.953877665931,Repeat Loan,1
Type_2,171301.0,57.5915925925926,90,16274.0,10,236.67777777777778,1903.3444444444444,6.735691152010504,Repeat Loan,1
Type_4,21997.0,121.48416666666668,30,4399.0,3,66.56666666666666,733.2333333333333,20.249202198732036,Repeat Loan,1
Type_9,32523.0,102.32166666666667,30,9757.0,9,84.1,1084.1,11.368957551843122,Repeat Loan,1
Type_4,1240486.0,38.84650757575758,120,112771.0,3,1170.7166666666667,10337.383333333333,3.560944214131678,Repeat Loan,1
Type_1,27869.0,71.88847892740216,7,8361.0,8,54.142857142857146,3981.285714285714,34.23138071706684,Repeat Loan,1
Type_1,1637.0,476.23809523809524,7,491.0,11,19.571428571428573,233.85714285714286,226.82623273341923,Repeat Loan,1
