,id,customer_id,country_id,tbl_loan_id,lender_id,loan_type,total_amount,total_amount_to_repay,disbursement_date,due_date,duration,new_versus_repeat,amount_funded_by_lender,lender_portion_funded,lender_portion_to_be_repaid,target
0,ID_248648126311251804,248648,Kenya,126311,251804,Type_5,40700.0,42835.0,2022-03-14,2022-03-28,14,Repeat Loan,4980.0,0.122358722358722,5241.0,0
1,ID_248648126311245684,248648,Kenya,126311,245684,Type_5,40700.0,42835.0,2022-03-14,2022-03-28,14,Repeat Loan,10000.0,0.245700245700245,10525.0,0
2,ID_244985126314245684,244985,Kenya,126314,245684,Type_5,28000.0,29500.0,2022-03-14,2022-03-28,14,Repeat Loan,10000.0,0.357142857142857,10536.0,0
3,ID_244985126314251804,244985,Kenya,126314,251804,Type_5,28000.0,29500.0,2022-03-14,2022-03-28,14,Repeat Loan,3440.0,0.122857142857142,3624.0,0
4,ID_249613126316245684,249613,Kenya,126316,245684,Type_5,17000.0,17950.0,2022-03-14,2022-03-28,14,Repeat Loan,10000.0,0.588235294117647,10559.0,0
5,ID_249613126316251804,249613,Kenya,126316,251804,Type_5,17000.0,17950.0,2022-03-14,2022-03-28,14,Repeat Loan,600.0,0.0352941176470588,634.0,0
6,ID_248670127372251804,248670,Kenya,127372,251804,Type_5,28000.0,29500.0,2022-03-16,2022-03-30,14,Repeat Loan,1040.0,0.0371428571428571,1096.0,0
7,ID_248670127372245684,248670,Kenya,127372,245684,Type_5,28000.0,29500.0,2022-03-16,2022-03-30,14,Repeat Loan,10000.0,0.357142857142857,10536.0,0
8,ID_256868127382251804,256868,Kenya,127382,251804,Type_5,24000.0,25300.0,2022-03-16,2022-03-30,14,Repeat Loan,1520.0,0.0633333333333333,1602.0,0
9,ID_256868127382245684,256868,Kenya,127382,245684,Type_5,24000.0,25300.0,2022-03-16,2022-03-30,14,New Loan,10000.0,0.416666666666666,10542.0,0
10,ID_249830127427251804,249830,Kenya,127427,251804,Type_5,33900.0,35695.0,2022-03-14,2022-03-28,14,Repeat Loan,2404.0,0.0709144542772861,2531.0,0
11,ID_249830127427245684,249830,Kenya,127427,245684,Type_5,33900.0,35695.0,2022-03-14,2022-03-28,14,Repeat Loan,10000.0,0.294985250737463,10529.0,0
12,ID_246989128195245684,246989,Kenya,128195,245684,Type_5,54000.0,56800.0,2022-03-18,2022-04-01,14,Repeat Loan,10000.0,0.185185185185185,10519.0,0
13,ID_246989128195251804,246989,Kenya,128195,251804,Type_5,54000.0,56800.0,2022-03-18,2022-04-01,14,Repeat Loan,8640.0,0.16,9088.0,0
14,ID_261840179408267278,261840,Kenya,179408,267278,Type_10,257434.4,261295.92,2022-06-02,2022-11-29,180,Repeat Loan,37874.0,0.147120975285354,38442.0,0
15,ID_261840179408251804,261840,Kenya,179408,251804,Type_10,257434.4,261295.92,2022-06-02,2022-11-29,180,Repeat Loan,19449.3,0.0755505091782605,19741.0,0
16,ID_259346179524267278,259346,Kenya,179524,267278,Type_10,223832.4,227189.89,2022-06-01,2022-06-30,29,Repeat Loan,26558.0,0.118651276580155,26956.0,0
17,ID_259346179524251804,259346,Kenya,179524,251804,Type_10,223832.4,227189.89,2022-06-01,2022-06-30,29,Repeat Loan,27817.0,0.124276020808426,28234.0,0
18,ID_252041179528267278,252041,Kenya,179528,267278,Type_10,179171.6,181859.17,2022-06-01,2022-06-30,29,Repeat Loan,20116.0,0.112272257433655,20418.0,0
19,ID_252041179528251804,252041,Kenya,179528,251804,Type_10,179171.6,181859.17,2022-06-01,2022-06-30,29,Repeat Loan,19226.43,0.107307352281276,19515.0,0
20,ID_259205179530251804,259205,Kenya,179530,251804,Type_10,155775.8,158112.44,2022-06-01,2022-06-30,29,Repeat Loan,17601.8,0.112994444579966,17866.0,0
21,ID_259205179530267278,259205,Kenya,179530,267278,Type_10,155775.8,158112.44,2022-06-01,2022-06-30,29,Repeat Loan,18970.0,0.121777580343031,19255.0,0
22,ID_259206179666267278,259206,Kenya,179666,267278,Type_10,667293.95,677303.36,2022-06-01,2022-06-30,29,Repeat Loan,100211.0,0.150175196403324,101714.0,0
23,ID_259206179666251804,259206,Kenya,179666,251804,Type_10,667293.95,677303.36,2022-06-01,2022-06-30,29,Repeat Loan,54849.0,0.0821961595785485,55672.0,0
24,ID_259334181063251804,259334,Kenya,181063,251804,Type_10,102930.0,104473.95,2022-06-03,2022-06-30,27,Repeat Loan,12194.0,0.118468862333624,12377.0,0
25,ID_259334181063267278,259334,Kenya,181063,267278,Type_10,102930.0,104473.95,2022-06-03,2022-06-30,27,Repeat Loan,12562.0,0.122044107645973,12750.0,0
26,ID_261839182953267278,261839,Kenya,182953,267278,Type_10,231416.4,234887.65,2022-06-06,2022-06-30,24,Repeat Loan,22993.0,0.0993576946145562,23338.0,0
27,ID_261839182953251804,261839,Kenya,182953,251804,Type_10,231416.4,234887.65,2022-06-06,2022-06-30,24,Repeat Loan,22900.24,0.0989568587187425,23244.0,0
28,ID_259388182954251804,259388,Kenya,182954,251804,Type_10,89780.0,91126.7,2022-06-06,2022-07-21,45,Repeat Loan,9446.0,0.105212742258854,9588.0,0
29,ID_259388182954267278,259388,Kenya,182954,267278,Type_10,89780.0,91126.7,2022-06-06,2022-07-21,45,Repeat Loan,10832.0,0.12065047894854,10994.0,0
30,ID_259843184951251804,259843,Kenya,184951,251804,Type_10,191612.2,194486.38,2022-06-07,2022-06-30,23,Repeat Loan,7317.1,0.0381870256695554,7427.0,0
31,ID_259843184951267278,259843,Kenya,184951,267278,Type_10,191612.2,194486.38,2022-06-07,2022-06-30,23,Repeat Loan,34516.0,0.180134667834302,35034.0,0
32,ID_261841185893251804,261841,Kenya,185893,251804,Type_10,55930.2,56769.15,2022-06-08,2022-06-30,22,Repeat Loan,1132.0,0.020239512821338,1149.0,0
33,ID_261841185893267278,261841,Kenya,185893,267278,Type_10,55930.2,56769.15,2022-06-08,2022-06-30,22,Repeat Loan,10053.0,0.179741892573243,10204.0,0
34,ID_248670187030251804,248670,Kenya,187030,251804,Type_5,38000.0,40000.0,2022-06-10,2022-06-24,14,Repeat Loan,5066.0,0.133315789473684,5333.0,0
35,ID_248670187030267278,248670,Kenya,187030,267278,Type_5,38000.0,40000.0,2022-06-10,2022-06-24,14,Repeat Loan,5066.0,0.133315789473684,5333.0,0
36,ID_245757187135267278,245757,Kenya,187135,267278,Type_5,6500.0,6925.0,2022-06-10,2022-06-24,14,Repeat Loan,866.0,0.133230769230769,923.0,0
37,ID_245757187135251804,245757,Kenya,187135,251804,Type_5,6500.0,6925.0,2022-06-10,2022-06-24,14,Repeat Loan,866.0,0.133230769230769,923.0,0
38,ID_250523187154251804,250523,Kenya,187154,251804,Type_5,18000.0,18730.0,2022-06-10,2022-06-17,7,Repeat Loan,2400.0,0.133333333333333,2497.0,0
39,ID_250523187154267278,250523,Kenya,187154,267278,Type_5,18000.0,18730.0,2022-06-10,2022-06-17,7,Repeat Loan,2400.0,0.133333333333333,2497.0,0
40,ID_245537187927267278,245537,Kenya,187927,267278,Type_5,23000.0,24250.0,2022-06-11,2022-06-25,14,Repeat Loan,3066.0,0.133304347826086,3233.0,0
41,ID_245537187927251804,245537,Kenya,187927,251804,Type_5,23000.0,24250.0,2022-06-11,2022-06-25,14,Repeat Loan,3066.0,0.133304347826086,3233.0,0
42,ID_267312188905267278,267312,Kenya,188905,267278,Type_10,26747.0,27148.21,2022-06-13,2022-06-30,17,Repeat Loan,4551.0,0.17014992335589,4619.0,0
43,ID_267312188905251804,267312,Kenya,188905,251804,Type_10,26747.0,27148.21,2022-06-13,2022-06-30,17,Repeat Loan,3191.0,0.119303099413018,3239.0,0
44,ID_257771188906251804,257771,Kenya,188906,251804,Type_5,6000.0,6400.0,2022-06-13,2022-06-27,14,Repeat Loan,800.0,0.133333333333333,853.0,0
45,ID_257771188906267278,257771,Kenya,188906,267278,Type_5,6000.0,6400.0,2022-06-13,2022-06-27,14,Repeat Loan,800.0,0.133333333333333,853.0,0
46,ID_267021188907251804,267021,Kenya,188907,251804,Type_5,9000.0,10145.0,2022-06-15,2022-06-29,14,Repeat Loan,1200.0,0.133333333333333,1353.0,1
47,ID_267021188907267278,267021,Kenya,188907,267278,Type_5,9000.0,10145.0,2022-06-15,2022-06-29,14,Repeat Loan,1200.0,0.133333333333333,1353.0,1
48,ID_240303189299251804,240303,Kenya,189299,251804,Type_4,75000.0,79875.0,2022-06-13,2022-07-13,30,Repeat Loan,6186.49,0.0824865333333333,6589.0,0
49,ID_240303189299267278,240303,Kenya,189299,267278,Type_4,75000.0,79875.0,2022-06-13,2022-07-13,30,Repeat Loan,10000.0,0.133333333333333,10650.0,0
50,ID_250359190280267278,250359,Kenya,190280,267278,Type_5,21500.0,22675.0,2022-06-14,2022-06-28,14,Repeat Loan,2866.0,0.133302325581395,3023.0,0
51,ID_250359190280251804,250359,Kenya,190280,251804,Type_5,21500.0,22675.0,2022-06-14,2022-06-28,14,Repeat Loan,2866.0,0.133302325581395,3023.0,0
52,ID_247743190365251804,247743,Kenya,190365,251804,Type_5,6500.0,6925.0,2022-06-14,2022-06-28,14,Repeat Loan,866.0,0.133230769230769,923.0,0
53,ID_247743190365267278,247743,Kenya,190365,267278,Type_5,6500.0,6925.0,2022-06-14,2022-06-28,14,Repeat Loan,866.0,0.133230769230769,923.0,0
