loan_type,total_amount_to_repay,interest_rate,duration,lender_portion_to_be_repaid,due_month,daily_loan_cost,daily_payment_ratio,risk_score,new_versus_repeat,actual_class,predicted_class
Type_14,11111.0,135.17166666666668,30,11111.0,3,37.03333333333333,370.3666666666667,4.505722222222222,New Loan,1,1
Type_1,94261.0,1729.1330732640579,7,3.0,9,3353.4285714285716,13465.857142857143,7761419.648521112,Repeat Loan,1,1
Type_5,40609.0,2205.287337662338,14,5414.0,7,1329.2142857142858,2900.6428571428573,1181.520311033958,Repeat Loan,1,1
Type_7,5927.0,500.40944632290785,7,1185.0,9,74.14285714285714,846.7142857142857,357.55597207424654,Repeat Loan,1,1
Type_4,591678.0,74.36104444444445,90,147920.0,4,1018.6444444444444,6574.2,3.3049241372814135,Repeat Loan,1,1
Type_7,5218.0,227.34285714285716,7,1044.0,11,31.142857142857142,745.4285714285714,162.3255375713504,Repeat Loan,1,1
Type_1,938.0,2207.565575547366,7,281.0,11,39.857142857142854,134.0,1052.7181036418044,Repeat Loan,1,1
Type_1,13075.0,2181.763940117162,7,3923.0,8,551.0,1867.857142857143,1038.8027936721855,Repeat Loan,1,1
Type_1,3399.0,2845.4492301695573,7,68.0,9,171.42857142857142,485.57142857142856,20318.659523836817,Repeat Loan,1,1
Type_4,39260.0,74.04285714285716,60,3730.0,9,71.0,654.3333333333334,12.988930167241161,Repeat Loan,1,1
Type_1,9380.0,2210.9458023379384,7,2814.0,8,399.0,1340.0,1052.8313344466374,Repeat Loan,1,1
Type_1,6655.0,2172.0641002250195,7,717.0,11,279.57142857142856,950.7142857142857,2880.073039848078,Repeat Loan,1,1
Type_5,20134.0,309.0912698412698,14,3221.0,4,152.42857142857142,1438.142857142857,138.0060235726289,Repeat Loan,1,1
Type_7,6275.0,238.9880952380952,7,1255.0,11,39.285714285714285,896.4285714285714,170.70578231292515,Repeat Loan,1,1
Type_1,556.0,3092.7138763814983,7,167.0,11,29.571428571428573,79.42857142857143,1470.9571559179753,Repeat Loan,1,1
Type_1,2142.0,2690.1728844404006,7,643.0,8,104.14285714285714,306.0,1280.237795705696,Repeat Loan,1,1
Type_4,65331.0,180.51016129032257,62,8710.0,2,247.2741935483871,1053.725806451613,21.837912201877824,Repeat Loan,1,1
Type_9,17032.0,454.48387096774195,30,8447.0,11,154.4,567.7333333333333,30.546423938765564,Repeat Loan,1,1
Type_1,8795.0,2208.770753364473,7,2639.0,8,373.85714285714283,1256.4285714285713,1051.5963176441585,Repeat Loan,1,1
Type_1,1591.0,3250.9475218658886,7,477.0,10,87.28571428571429,227.28571428571428,1549.0438775946775,Repeat Loan,1,1
